City,Country,Date,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity
Dhidhdhoo,MV,4/18/2018 18:23,6.88,73.1,85.51,8.41,24,100
Berdigestyakh,RU,4/18/2018 18:24,62.1,126.7,31.15,7.63,24,72
Mariinskiy Posad,RU,4/18/2018 17:30,56.12,47.72,44.6,6.71,40,56
Kano,NG,4/18/2018 18:00,11.99,8.53,98.6,8.05,20,17
College,US,4/18/2018 17:58,64.86,-147.8,37.4,8.05,1,34
Pontianak,ID,4/18/2018 18:24,-0.02,109.34,79.3,2.71,80,98
Hofn,IS,4/18/2018 18:00,64.25,-15.21,48.2,10.29,75,87
Qaanaaq,GL,4/18/2018 18:24,77.48,-69.36,-0.09,1.7,24,96
Kinkala,CG,4/18/2018 18:00,-4.35,14.75,86,6.93,40,66
Capoterra,IT,4/18/2018 17:55,39.18,8.97,68,5.82,20,88
Mataura,NZ,4/18/2018 18:24,-46.19,168.86,51.31,16.69,92,84
Bereda,ES,4/18/2018 18:00,43.27,-7.54,64.4,6.93,0,63
Hithadhoo,MV,4/18/2018 18:24,-0.6,73.08,77.86,8.63,92,100
Auki,NG,4/18/2018 18:24,12.18,6.51,92.62,5.06,44,23
Motala,SE,4/18/2018 17:50,58.54,15.04,59,16.11,0,66
Black River,JM,4/18/2018 18:00,18.03,-77.85,86,19.46,20,66
Mersing,MY,4/18/2018 18:23,2.43,103.84,80.74,7.74,80,91
Bathsheba,BB,4/18/2018 18:00,13.22,-59.52,82.4,18.34,40,74
Faanui,PF,4/18/2018 18:24,-16.48,-151.75,79.12,7.74,24,100
Sitka,US,4/18/2018 18:24,37.17,-99.65,64.09,22.84,0,22
Arkadelphia,US,4/18/2018 17:55,34.12,-93.05,78.8,11.41,1,26
Beira,ES,4/18/2018 18:00,43.2,-8.36,64.4,6.93,0,63
Thompson,CA,4/18/2018 18:00,55.74,-97.86,46.4,6.93,90,20
Cabrera,CO,4/18/2018 18:24,3.98,-74.48,64.18,1.92,56,84
Carnarvon,ZA,4/18/2018 18:24,-30.97,22.13,57.97,12.21,12,26
Iracoubo,GF,4/18/2018 18:24,5.48,-53.21,85.15,6.4,8,65
Abha,SA,4/18/2018 18:00,18.22,42.5,66.2,4.7,0,77
Muisne,EC,4/18/2018 18:24,0.61,-80.02,87.58,5.39,56,66
Abbeville,FR,4/18/2018 18:00,50.11,1.83,69.8,8.05,0,56
Alofi,NU,4/18/2018 18:00,-19.06,-169.92,77,12.75,92,78
Kantabanji,IN,4/18/2018 18:24,20.47,82.92,75.43,6.62,0,62
Tiksi,RU,4/18/2018 18:24,71.64,128.87,3.79,2.37,0,62
Port Macquarie,AU,4/18/2018 18:00,-31.43,152.91,59,3.6,92,100
Upernavik,GL,4/18/2018 18:24,72.79,-56.15,8.74,25.97,20,100
Hyeres,FR,4/18/2018 18:00,43.12,6.14,71.6,5.82,0,55
Nabire,ID,4/18/2018 18:24,-3.36,135.5,68.32,2.15,24,95
Geraldton,CA,4/18/2018 18:00,49.72,-86.95,39.2,17.22,20,29
Kapaa,US,4/18/2018 18:11,22.08,-159.32,75.2,14.99,40,83
Walvis Bay,NA,4/18/2018 18:00,-22.95,14.51,68,12.75,0,60
Tuktoyaktuk,CA,4/18/2018 18:00,69.44,-133.03,-7.61,8.05,20,76
Cape Town,ZA,4/18/2018 18:00,-33.93,18.42,53.6,6.93,0,93
Uruzgan,AF,4/18/2018 18:24,32.93,66.63,27.82,1.48,0,86
San Ramon,NI,4/18/2018 18:00,12.92,-85.84,78.8,18.34,40,50
Srandakan,ID,4/18/2018 18:24,-7.94,110.25,71.92,3.15,32,99
Lebu,ET,4/18/2018 18:24,8.96,38.73,56.53,3.6,80,88
Tuatapere,NZ,4/18/2018 18:23,-46.13,167.69,51.85,20.15,76,100
Nanortalik,GL,4/18/2018 18:24,60.14,-45.24,32.59,8.97,8,100
Victoria,BN,4/18/2018 18:00,5.28,115.24,77,1.12,75,100
Eureka,US,4/18/2018 17:55,40.8,-124.16,53.6,5.82,1,58
Saint-Philippe,CA,4/18/2018 18:00,45.36,-73.48,44.6,20.8,90,75
Kavaratti,IN,4/18/2018 18:24,10.57,72.64,85.6,7.18,80,100
Berlevag,NO,4/18/2018 17:50,70.86,29.09,32,5.82,75,100
Corrientes,AR,4/18/2018 17:00,-27.47,-58.83,87.8,6.93,20,55
Zaranj,AF,4/18/2018 17:00,30.95,61.86,66.2,21.92,40,32
Mahebourg,MU,4/18/2018 18:00,-20.41,57.7,78.8,9.17,75,88
San Carlos de Bariloche,AR,4/18/2018 17:00,-41.13,-71.31,59,19.46,20,51
Nantucket,US,4/18/2018 17:35,41.28,-70.1,48.2,21.92,1,45
Anadyr,RU,4/18/2018 17:00,64.73,177.51,32,15.66,90,87
Goderich,CA,4/18/2018 18:24,43.74,-81.71,35.74,10.98,32,96
Buala,SB,4/18/2018 18:24,-8.15,159.59,79.75,4.38,36,100
Kamenka,RU,4/18/2018 18:24,53.19,44.05,51.04,8.63,92,98
Sacramento,US,4/18/2018 17:58,38.58,-121.49,53.6,5.82,90,76
Yakima,US,4/18/2018 17:53,46.6,-120.51,53.6,4.7,1,40
Kupang,ID,4/18/2018 18:24,-10.16,123.6,80.56,4.72,0,95
Babstovo,RU,4/18/2018 18:24,48.12,132.48,40.06,2.15,32,71
Dauphin,CA,4/18/2018 18:00,51.15,-100.04,46.4,4.7,1,39
Pacific Grove,US,4/18/2018 17:55,36.62,-121.92,55.4,9.17,20,62
Bluff,AU,4/18/2018 18:24,-23.58,149.07,67.87,6.51,8,87
Great Yarmouth,GB,4/18/2018 17:50,52.61,1.73,66.2,9.17,0,52
Saint George,GR,4/18/2018 17:50,39.45,22.34,57.2,5.82,20,82
Scarborough,GB,4/18/2018 17:50,54.28,-0.41,71.6,9.17,0,56
Anshun,CN,4/18/2018 18:24,26.25,105.93,58.24,11.32,32,68
Araouane,ML,4/18/2018 18:24,18.9,-3.53,92.44,5.61,0,9
Sur,OM,4/18/2018 18:24,22.57,59.53,81.1,5.95,8,88
Alice Springs,AU,4/18/2018 18:00,-23.7,133.88,60.8,5.84,0,41
Lagoa,PT,4/18/2018 18:00,37.14,-8.45,69.8,8.05,0,52
Provideniya,RU,4/18/2018 18:24,64.42,-173.23,32.14,21.5,88,89
Ponta do Sol,BR,4/18/2018 18:24,-20.63,-46,78.04,6.4,0,47
Ostrov,RU,4/18/2018 17:00,57.34,28.36,44.6,11.18,48,87
Raudeberg,NO,4/18/2018 17:50,61.99,5.14,53.6,9.17,75,87
Nalut,LY,4/18/2018 18:24,31.86,10.98,63.37,14.79,0,58
Vostok,RU,4/18/2018 18:24,46.45,135.83,35.38,1.92,0,87
Nigde,TR,4/18/2018 18:24,37.97,34.68,46.45,0.92,0,62
Yulara,AU,4/18/2018 18:00,-25.24,130.99,75.2,5.82,36,31
Taltal,CL,4/18/2018 18:24,-25.41,-70.49,69.49,3.6,0,77
Roseburg,US,4/18/2018 17:56,43.22,-123.34,48.2,4.7,40,81
Shebalino,RU,4/18/2018 18:24,51.29,85.68,23.41,2.48,88,85
Port Elizabeth,US,4/18/2018 17:56,39.31,-74.98,53.6,12.75,1,40
Ancud,CL,4/18/2018 18:24,-41.87,-73.83,55.99,9.19,92,99
Karratha,AU,4/18/2018 18:24,-20.74,116.85,72.55,9.42,0,59
Hasaki,JP,4/18/2018 17:30,35.73,140.83,46.4,8.63,20,100
Husavik,CA,4/18/2018 18:24,50.56,-96.99,41.95,4.05,36,71
Aykhal,RU,4/18/2018 18:24,65.95,111.51,21.07,8.19,80,81
Matagami,NG,4/18/2018 18:25,9.67,8.4,79.75,3.38,36,67
Vao,EE,4/18/2018 18:25,59.1,26.19,48.79,9.64,92,70
Nelson Bay,AU,4/18/2018 18:00,-32.72,152.14,60.8,5.82,56,87
Egvekinot,RU,4/18/2018 18:25,66.32,-179.17,22.24,3.49,48,87
San Policarpo,PH,4/18/2018 18:25,12.18,125.51,78.67,4.83,80,100
Souillac,FR,4/18/2018 18:00,45.6,-0.6,78.8,3.36,0,34
Ponta Delgada,PT,4/18/2018 18:00,37.73,-25.67,57.2,17.22,20,58
Panjakent,UZ,4/18/2018 17:30,39.5,67.61,44.6,4.7,40,65
Mweka,CD,4/18/2018 18:25,-4.85,21.56,80.47,3.6,48,76
Cherskiy,RU,4/18/2018 18:25,68.75,161.3,12.79,2.04,44,72
Tautira,PF,4/18/2018 18:00,-17.73,-149.15,82.4,3.36,75,69
Kamogawa,JP,4/18/2018 17:30,35.13,140.08,53.6,4.7,40,87
Chauk,MM,4/18/2018 18:25,20.89,94.82,70.03,1.48,0,97
Cabo San Lucas,MX,4/18/2018 17:47,22.89,-109.91,84.2,11.41,5,18
Masuguru,MZ,4/18/2018 18:25,-11.38,38.46,80.65,6.73,68,70
Sisimiut,GL,4/18/2018 18:25,66.94,-53.67,22.6,1.59,68,88
Kaeo,NZ,4/18/2018 18:25,-35.1,173.78,53.38,4.05,68,77
Taitung,TW,4/18/2018 18:25,22.76,121.15,66.52,8.63,56,100
Isangel,VU,4/18/2018 18:25,-19.55,169.27,77.95,19.71,56,100
Chatellerault,FR,4/18/2018 18:00,46.8,0.53,75.2,5.82,0,38
Huarmey,PE,4/18/2018 18:25,-10.07,-78.15,76.69,4.05,8,58
Tomatlan,MX,4/18/2018 18:25,19.93,-105.25,86.59,3.83,0,55
Magadan,RU,4/18/2018 17:00,59.56,150.8,1.4,3.38,24,91
Bambous Virieux,MU,4/18/2018 18:00,-20.34,57.76,78.8,9.17,75,88
Hobart,AU,4/18/2018 18:00,-42.88,147.33,48.2,6.93,75,81
North Platte,US,4/18/2018 17:53,41.12,-100.77,50,26.4,90,58
Kandrian,PG,4/18/2018 18:25,-6.21,149.55,74.44,2.71,20,100
Saskylakh,RU,4/18/2018 18:25,71.97,114.09,-2.07,3.83,0,59
Artyom,RU,4/18/2018 17:30,43.36,132.19,41,4.94,40,100
Severo-Kurilsk,RU,4/18/2018 18:25,50.68,156.12,27.46,8.08,24,100
Jiuquan,CN,4/18/2018 18:25,39.73,98.49,37,1.7,12,64
Lamesa,US,4/18/2018 17:55,32.74,-101.95,62.6,17.22,1,16
Bindura,ZW,4/18/2018 18:25,-17.3,31.33,65.62,1.25,92,82
Novosil,RU,4/18/2018 18:25,52.97,37.04,48.7,12.44,56,80
Roald,NO,4/18/2018 17:50,62.58,6.12,53.6,3.36,75,100
Aguimes,ES,4/18/2018 18:00,27.91,-15.45,73.4,26.4,20,43
Samarai,PG,4/18/2018 18:25,-10.62,150.67,76.15,6.62,88,100
Londrina,BR,4/18/2018 17:00,-23.31,-51.16,80.6,4.7,20,51
Cockburn Town,TC,4/18/2018 18:20,21.46,-71.14,80.11,15.12,0,95
Namibe,AO,4/18/2018 18:25,-15.19,12.15,78.94,7.74,0,98
Narok,KE,4/18/2018 18:25,-1.09,35.87,60.04,1.92,68,93
Maniitsoq,GL,4/18/2018 18:25,65.42,-52.9,31.42,7.29,68,100
Avarua,CK,4/18/2018 18:00,-21.21,-159.78,75.2,8.05,20,73
Chuy,UY,4/18/2018 18:25,-33.69,-53.46,80.74,11.54,36,76
Praia,BR,4/18/2018 17:00,-20.25,-43.81,77,13.87,40,47
Port Hedland,AU,4/18/2018 18:00,-20.31,118.58,73.4,9.17,0,69
Norman Wells,CA,4/18/2018 18:00,65.28,-126.83,14,18.34,75,56
Marystown,CA,4/18/2018 18:25,47.17,-55.16,42.94,8.41,80,94
Santa Marta,CO,4/18/2018 18:00,11.24,-74.21,91.4,9.17,75,59
Cidreira,BR,4/18/2018 18:25,-30.17,-50.22,80.92,0.69,0,69
Baie-Comeau,CA,4/18/2018 18:00,49.22,-68.15,37.4,14.99,90,80
Suez,EG,4/18/2018 18:25,29.97,32.54,77.32,5.5,0,28
Banda Aceh,ID,4/18/2018 18:25,5.56,95.32,76.24,3.04,32,96
Shelburne,CA,4/18/2018 18:00,44.08,-80.2,37.4,6.93,90,69
Sorong,ID,4/18/2018 18:25,-0.86,131.25,82.09,2.04,8,100
Bonavista,CA,4/18/2018 18:25,48.65,-53.11,36.73,24.07,88,88
North Bend,US,4/18/2018 17:56,43.41,-124.22,51.8,4.7,1,71
Bubaque,GW,4/18/2018 18:00,11.28,-15.83,89.6,11.41,0,49
Esperance,TT,4/18/2018 18:00,10.24,-61.45,86,18.34,75,66
Balgazyn,RU,4/18/2018 18:25,51,95.2,32.59,3.15,92,100
Susanville,US,4/18/2018 17:55,40.42,-120.65,44.6,3.36,75,43
Pevek,RU,4/18/2018 18:25,69.7,170.27,15.67,1.7,8,58
Makueni,KE,4/18/2018 18:25,-1.8,37.62,68.14,2.26,80,93
Nagato,JP,4/18/2018 17:00,34.35,131.14,55.4,1.12,20,71
Qatana,SY,4/18/2018 18:00,33.43,36.09,77,6.93,0,13
Teguldet,RU,4/18/2018 18:25,57.31,88.17,13.51,4.38,20,70
Tezu,IN,4/18/2018 18:25,27.93,96.16,60.76,0.69,64,95
Deer Lake,CA,4/18/2018 18:00,49.18,-57.43,37.4,11.41,90,86
Lagos,NG,4/18/2018 18:00,6.46,3.39,84.2,4.7,40,79
Kahului,US,4/18/2018 17:56,20.89,-156.47,75.2,8.05,20,73
Lazaro Cardenas,MX,4/18/2018 17:43,28.39,-105.62,78.8,16.11,40,9
Chicama,PE,4/18/2018 18:00,-7.84,-79.15,66.2,10.29,40,88
Foumban,CM,4/18/2018 18:25,5.73,10.9,72.19,2.37,88,83
Sohag,EG,4/18/2018 18:25,26.55,31.7,80.56,5.73,0,24
Longyearbyen,NO,4/18/2018 17:50,78.22,15.63,12.2,4.7,20,61
Yarada,IN,4/18/2018 18:25,17.65,83.27,85.06,17.25,80,99
Cabedelo,BR,4/18/2018 18:00,-6.97,-34.84,84.2,13.87,40,66
Jumla,NP,4/18/2018 18:25,29.28,82.18,29.71,2.37,0,76
Genhe,CN,4/18/2018 18:25,50.78,121.52,32.5,4.38,0,77
Sjovegan,NO,4/18/2018 17:50,68.87,17.85,44.6,10.29,0,65
Erenhot,CN,4/18/2018 18:25,43.65,111.97,42.22,6.73,36,51
Tommot,RU,4/18/2018 18:25,58.97,126.27,30.61,6.62,8,63
Lavrentiya,RU,4/18/2018 18:25,65.58,-170.99,29.98,20.71,76,95
Baraboo,US,4/18/2018 18:02,43.47,-89.74,33.8,12.75,90,84
Llangefni,GB,4/18/2018 17:50,53.26,-4.31,60.8,11.41,0,67
Hami,CN,4/18/2018 18:25,42.84,93.51,58.51,2.82,56,50
Zirandaro,MX,4/18/2018 18:25,18.45,-100.98,93.43,3.27,0,24
San Quintin,PH,4/18/2018 18:00,17.54,120.52,80.6,4.7,20,74
Kavieng,PG,4/18/2018 18:25,-2.57,150.8,80.38,3.6,88,100
Raton,US,4/18/2018 17:54,36.9,-104.44,51.8,3.36,1,11
Caravelas,BR,4/18/2018 18:25,-17.73,-39.27,79.3,17.47,76,100
Richards Bay,ZA,4/18/2018 18:25,-28.77,32.06,75.25,7.63,0,68
Roxana,US,4/18/2018 18:15,38.85,-90.08,73.4,31.09,40,52
Rio Gallegos,AR,4/18/2018 17:00,-51.62,-69.22,62.6,24.16,75,48
Havre-Saint-Pierre,CA,4/18/2018 18:13,50.23,-63.6,33.8,14.99,90,100
Lisakovsk,KZ,4/18/2018 18:25,52.55,62.49,32.59,4.94,0,70
Pangnirtung,CA,4/18/2018 18:00,66.15,-65.72,12.2,8.05,40,85
Antofagasta,CL,4/18/2018 17:00,-23.65,-70.4,66.2,13.87,0,63
Shingu,JP,4/18/2018 18:25,33.72,135.99,57.79,4.38,64,100
Vestmanna,FO,4/18/2018 17:50,62.16,-7.17,48.2,14.99,88,93
Grindavik,IS,4/18/2018 17:30,63.84,-22.43,50,24.16,75,87
Boa Vista,BR,4/18/2018 18:00,2.82,-60.67,91.4,13.87,40,46
Ankazoabo,MG,4/18/2018 18:25,-22.29,44.51,68.23,3.15,44,82
Rochester,US,4/18/2018 17:50,44.02,-92.46,35.6,8.05,90,100
Mayumba,GA,4/18/2018 18:25,-3.44,10.65,82.27,11.99,64,94
Patzicia,GT,4/18/2018 18:00,14.63,-90.93,80.6,3.36,75,47
Muzhi,RU,4/18/2018 18:25,65.4,64.7,27.19,16.69,64,77
Maragogi,BR,4/18/2018 18:25,-9.01,-35.22,79.57,9.75,92,91
Narsaq,GL,4/18/2018 17:50,60.91,-46.05,42.8,9.17,20,60
Saint-Ambroise,FR,4/18/2018 18:00,47.25,-0.65,75.2,6.93,0,31
Clyde River,CA,4/18/2018 17:00,70.47,-68.59,3.2,4.7,1,77
Khanpur,PK,4/18/2018 18:25,28.65,70.66,76.96,5.95,12,35
Eyrarbakki,IS,4/18/2018 17:10,63.86,-21.15,50,21.92,75,66
Northam,GB,4/18/2018 17:50,51.04,-4.21,64.4,19.46,0,63
Kaitangata,NZ,4/18/2018 18:25,-46.28,169.85,51.94,23.73,44,73
Whitehorse,CA,4/18/2018 18:00,60.72,-135.06,28.4,11.41,75,50
Tselinnoye,UA,4/18/2018 18:25,45.9,34.18,59.14,11.54,68,71
Kathmandu,NP,4/18/2018 17:50,27.71,85.32,64.4,2.24,75,88
Havoysund,NO,4/18/2018 17:50,71,24.66,35.6,12.75,75,80
Maputo,MZ,4/18/2018 18:00,-25.97,32.57,75.2,9.17,20,78
Meulaboh,ID,4/18/2018 18:25,4.14,96.13,78.31,3.49,68,100
Neuquen,AR,4/18/2018 17:00,-38.95,-68.06,69.8,6.93,0,31
Itarema,BR,4/18/2018 18:25,-2.92,-39.92,82.54,12.44,80,89
Dangriga,BZ,4/18/2018 18:00,16.97,-88.23,84.2,11.41,75,74
Aljezur,PT,4/18/2018 18:25,37.31,-8.8,66.25,9.64,0,74
Fauske,NO,4/18/2018 17:50,67.26,15.4,42.8,17.22,75,93
Rodeo,MX,4/18/2018 18:25,25.18,-104.56,80.29,5.17,0,15
Mackenzie,CA,4/18/2018 18:00,55.34,-123.09,41,8.05,90,48
Tanout,NE,4/18/2018 18:25,14.97,8.88,92.71,3.6,0,14
Gorin,US,4/18/2018 18:15,40.36,-92.02,41,9.17,90,54
Atar,MR,4/18/2018 18:25,20.52,-13.05,93.61,6.62,0,12
Amazar,RU,4/18/2018 18:25,53.86,120.88,35.65,5.17,0,69
Saryozek,KZ,4/18/2018 18:25,44.36,77.98,37.81,1.7,92,93
Rio Grande,BR,4/18/2018 18:00,-32.03,-52.1,82.4,8.05,40,58
Nioro,GM,4/18/2018 18:25,13.79,-15.05,101.17,6.96,0,22
Sao Jose da Coroa Grande,BR,4/18/2018 18:25,-8.9,-35.15,79.57,9.75,92,91
Klaksvik,FO,4/18/2018 17:50,62.23,-6.59,48.2,14.99,92,93
Port Hardy,CA,4/18/2018 18:00,50.7,-127.42,48.2,10.29,75,70
Espanola,CA,4/18/2018 18:25,46.27,-81.77,39.34,7.96,48,54
Nocrich,RO,4/18/2018 18:00,45.9,24.45,59,6.93,75,82
Kieta,PG,4/18/2018 18:25,-6.22,155.63,76.42,3.6,92,100
Chebsara,RU,4/18/2018 18:25,59.2,38.84,46.81,7.52,0,74
Kloulklubed,PW,4/18/2018 17:51,7.04,134.26,78.8,7.18,90,100
Ust-Omchug,RU,4/18/2018 18:25,61.13,149.63,-0.27,2.37,0,59
Udachnyy,RU,4/18/2018 18:25,66.42,112.4,27.55,3.6,88,84
Kruisfontein,ZA,4/18/2018 18:25,-34,24.73,64.09,19.82,100,90
Sterling,US,4/18/2018 17:57,39,-77.4,59,6.93,20,43
Baruun-Urt,MN,4/18/2018 18:25,46.68,113.28,36.19,6.4,0,52
Susehri,TR,4/18/2018 18:23,40.16,38.09,43.39,2.26,0,86
Comodoro Rivadavia,AR,4/18/2018 17:00,-45.87,-67.48,73.4,23.04,0,40
Zaysan,KZ,4/18/2018 18:25,47.47,84.87,34.12,7.96,68,88
Gamba,CN,4/18/2018 18:25,28.28,88.52,10.09,3.27,0,67
Puerto Plata,DO,4/18/2018 18:00,19.79,-70.69,87.8,17.22,40,70
Lakatoro,VU,4/18/2018 18:25,-16.11,167.42,77.77,8.97,20,94
Axim,GH,4/18/2018 18:22,4.87,-2.24,83.35,15.01,8,97
Lafia,NG,4/18/2018 18:25,8.5,8.51,84.79,4.16,24,63
Vila Franca do Campo,PT,4/18/2018 18:00,37.72,-25.43,57.2,17.22,20,58
Plouzane,FR,4/18/2018 18:00,48.38,-4.62,75.2,14.99,0,37
Mporokoso,ZM,4/18/2018 18:23,-9.37,30.12,64.45,5.06,36,93
Ambilobe,MG,4/18/2018 18:25,-13.19,49.05,75.25,4.38,8,76
Englewood,US,4/18/2018 18:00,39.65,-104.99,55.4,11.41,20,16
Ilulissat,GL,4/18/2018 17:50,69.22,-51.1,24.8,10.29,75,68
Faya,SA,4/18/2018 18:00,18.39,42.45,66.2,4.7,0,77
Salinopolis,BR,4/18/2018 18:25,-0.61,-47.36,76.6,11.77,100,100
Porto Novo,BR,4/18/2018 18:00,-23.68,-45.44,78.8,3.36,20,36
Bilma,NE,4/18/2018 18:25,18.69,12.92,90.64,7.18,36,10
Ayr,GB,4/18/2018 17:50,55.46,-4.63,62.6,8.05,20,67
Abeche,TD,4/18/2018 18:25,13.83,20.83,82.45,8.97,0,12
Zheshart,RU,4/18/2018 18:25,62.09,49.59,32.32,5.73,0,81
Halifax,CA,4/18/2018 18:00,44.65,-63.58,42.8,12.75,75,81
Bandarbeyla,SO,4/18/2018 18:25,9.49,50.81,83.62,2.93,36,100
Dingle,PH,4/18/2018 18:25,11,122.67,78.67,10.76,32,81
Puerto Cabello,VE,4/18/2018 18:00,10.47,-68.01,80.6,3.36,75,69
Naze,NG,4/18/2018 18:00,5.43,7.07,75.2,8.97,75,94
Bosobolo,CD,4/18/2018 18:26,4.19,19.88,80.83,5.61,24,63
Sao Filipe,CV,4/18/2018 18:26,14.9,-24.5,72.19,17.69,0,94
Ketchikan,US,4/18/2018 17:56,55.34,-131.65,46.4,13.87,90,87
Troitsko-Pechorsk,RU,4/18/2018 18:26,62.71,56.19,35.02,7.52,92,82
Nisia Floresta,BR,4/18/2018 18:00,-6.09,-35.21,87.8,14.99,20,58
Abnub,EG,4/18/2018 17:00,27.27,31.15,93.2,8.05,0,17
Punta Alta,AR,4/18/2018 18:00,-27.46,-55.82,87.8,9.17,40,48
Gikongoro,RW,4/18/2018 18:26,-2.46,29.57,59.41,1.92,12,88
